patente,pais,nombre
AI2283,Reino Unido,blackwall
AI9121,Jamaica,Bowen
AL1557,Dinamarca,Boadicea
AL8743,Filipinas,Adelaide
AM9504,Paraguay,Chaqueta de sport
AU5998,Irlanda,Abigail
AU6167,Argentina,Affleck
AV9914,Costa Rica,Broadley
AY3986,Islas Malvinas,Bradfield
BB5259,Brasil,Flor
BF7024,Finlandia,Alban
BI5654,Peru,Consejo
BN3951,Italia,brigandine
BN4195,Costa Rica,acheron
BY4314,Suiza,Resplandor
BY5212,Colombia,aboukir
BZ3311,Noruega,Floracion
CC4639,Polonia,Energico
CE1914,Corea,downham
CG7403,Japon,Castillo bodiam
CI3218,Siria,Agamenon
CV4539,Islas Malvinas,Boreham
DA9671,Suiza,Botha
DC7834,Qatar,Sable
DG5218,Filipinas,Drury
DK4889,Portugal,Bristol
DQ3759,India,Branlebas
DS0478,Chile,Penelope
DT6703,Finlandia,Britania
DV6261,Belgica,Bridgewater
DY6365,Irlanda,Dubford
EB3227,Peru,Bossington
ED5736,Chile,guysborough
EE2109,Nueva Zelanda,Premio dragon
EF7582,Belgica,Aquiles
EG8528,Brasil,Abrahan
EH9187,Qatar,Aberdeen
EI5702,Italia,Admirable
EI5834,Polonia,Bourdelais
EV7485,Qatar,Bravo
EX4705,Japon,Firme
EY2745,Japon,Aberfoyle
FA3127,Chile,Brandon
FE1567,Panama,drummondville
FI2331,Austria,Bolton Castle
FM3163,Finlandia,Albany
FN4513,Qatar,Brinkley
FO3430,India,brearley
FS3778,Indonesia,Acteon
FU8868,Panama,Alberta
GC3280,Islas Malvinas,Acorazado
GE9618,Colombia,Dromedario
GF5994,España,Alcantara
GJ5946,Noruega,Breconshire
GM1638,Islas Malvinas,Afrikander
GO7311,Australia,Ventaja
GS7205,España,Aventuras
GS9404,Filipinas,Bramham
GS9663,Polonia,broadwater
GT9752,España,Albrighton
HB3228,Singapur,Habil
HB4367,Egipto,Breda
HE2921,Dinamarca,Brigadier
HE5247,Polonia,Negrita
HE7029,India,Adonis
HE8199,Jamaica,Brampton
HF1544,Jamaica,Alcaston
HF4402,Austria,Brillante
HH5023,Republica Dominicana,Bolebroke
HH5472,Republica Dominicana,Boulston
HI3831,Belgica,Brevdrageren
HI7513,Suiza,Brayford
HK6767,Sudafrica,Bridport
HP3120,Panama,gympie
HV2199,Mexico,acasta
HW2014,Colombia,Sabueso
ID7819,Panama,As
IF9396,Portugal,Braave
IG9597,Indonesia,Aetna
IH6707,Nicaragua,Boston
II3534,Noruega,bodenham
IJ4552,Mexico,Bonetta
IT1233,Filipinas,Premio brillante
IV2746,Argentina,Blandford
IW2489,Australia,Eolo
IX1197,Italia,Boxer
JD8184,Mexico,Refriega
JR2308,Tailandia,britomart
KC2936,Noruega,Agua Negra
KH8053,Belgica,Premio Dover
KM2551,Republica Dominicana,Adepto
KQ3854,Nicaragua,Bravucon
KY2131,Paraguay,alberni
LA5643,Siria,abergavenny
LD3618,Republica Dominicana,Braak
LF8633,Suiza,Blenheim
LI5894,Singapur,Driada
